[2026-03-29T16:23:09.702Z] GET http://localhost:3000/_next/static/media/7da1b2d9318915d2-s.p.92ab040f.woff2 → 200 (1ms, ?B)
[2026-03-29T16:23:09.703Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__91d07e23._.css → 200 (27ms, 221116B)
[2026-03-29T16:23:09.717Z] GET http://localhost:3000/_next/static/chunks/_62a69acd._.css → 200 (13ms, 240392B)
[2026-03-29T16:23:09.717Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_ef001724._.js → 200 (13ms, 671B)
[2026-03-29T16:23:09.717Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_compiled_react-dom_4237bb50._.js → 200 (106ms, 1049957B)
[2026-03-29T16:23:09.717Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_compiled_react-server-dom-turbopack_545e4e78._.js → 200 (23ms, 169605B)
[2026-03-29T16:23:09.720Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_compiled_next-devtools_index_80d26b5a.js → 200 (103ms, 802174B)
[2026-03-29T16:23:09.720Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_compiled_11f73bb0._.js → 200 (41ms, 151128B)
[2026-03-29T16:23:09.720Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_client_90f795e1._.js → 200 (72ms, 720353B)
[2026-03-29T16:23:09.720Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_cf285c57._.js → 200 (47ms, 231821B)
[2026-03-29T16:23:09.720Z] GET http://localhost:3000/_next/static/chunks/69652_%40swc_helpers_cjs_679851cc._.js → 200 (60ms, 2050B)
[2026-03-29T16:23:09.720Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (60ms, 734B)
[2026-03-29T16:23:09.720Z] GET http://localhost:3000/_next/static/chunks/turbopack-_1d05b01b._.js → 200 (63ms, 74127B)
[2026-03-29T16:23:09.720Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_5de63cc9._.js → 200 (68ms, 136023B)
[2026-03-29T16:23:09.721Z] GET http://localhost:3000/_next/static/chunks/0a4c4_next_dist_client_components_builtin_global-error_a04c1d2a.js → 200 (71ms, 255B)
[2026-03-29T16:23:09.721Z] GET http://localhost:3000/_next/static/chunks/_740e6404._.js → 200 (102ms, 110441B)
[2026-03-29T16:23:09.721Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_a04c1d2a._.js → 200 (72ms, 296B)
[2026-03-29T16:23:09.721Z] GET http://localhost:3000/_next/static/chunks/473c5_better-auth_dist_44dedc21._.js → 200 (142ms, 551947B)
